rideable_type,member_casual,Day Name,Month Name,Custom,Hour,Count
classic_bike,member,Saturday,January,Under 10,14,265
electric_bike,casual,Friday,January,10 to 30,8,23
classic_bike,casual,Thursday,January,Under 10,7,55
classic_bike,casual,Thursday,January,10 to 30,10,29
classic_bike,casual,Monday,January,10 to 30,2,24
classic_bike,casual,Sunday,January,10 to 30,14,31
electric_bike,member,Monday,January,10 to 30,7,166
classic_bike,casual,Thursday,January,Under 10,9,48
classic_bike,casual,Monday,January,10 to 30,13,39
classic_bike,casual,Tuesday,January,Under 10,14,45
electric_bike,casual,Thursday,January,Under 10,9,96
classic_bike,casual,Saturday,January,Under 10,20,14
classic_bike,casual,Monday,January,Under 10,7,40
electric_bike,casual,Tuesday,January,Under 10,16,121
classic_bike,casual,Wednesday,January,Under 10,11,64
classic_bike,casual,Thursday,January,Under 10,10,54
electric_bike,casual,Friday,January,10 to 30,16,42
electric_bike,member,Thursday,January,Under 10,19,378
classic_bike,member,Friday,January,Under 10,8,328
classic_bike,member,Monday,January,Under 10,8,569
classic_bike,casual,Wednesday,January,10 to 30,8,32
classic_bike,casual,Thursday,January,30 to 60,0,2
electric_bike,casual,Thursday,January,10 to 30,10,29
classic_bike,member,Sunday,January,10 to 30,5,5
electric_bike,member,Monday,January,10 to 30,5,29
classic_bike,casual,Thursday,January,30 to 60,14,21
electric_bike,casual,Wednesday,January,Under 10,13,101
classic_bike,member,Friday,January,10 to 30,19,105
electric_bike,casual,Monday,January,Under 10,15,111
electric_bike,member,Sunday,January,10 to 30,20,44
classic_bike,member,Saturday,January,30 to 60,12,18
electric_bike,casual,Saturday,January,10 to 30,12,33
classic_bike,member,Saturday,January,10 to 30,1,13
electric_bike,member,Tuesday,January,Under 10,2,10
classic_bike,member,Saturday,January,Under 10,8,119
electric_bike,member,Monday,January,Under 10,5,92
electric_bike,member,Saturday,January,30 to 60,9,1
classic_bike,member,Wednesday,January,Under 10,12,506
classic_bike,member,Friday,January,10 to 30,13,99
electric_bike,member,Saturday,January,Under 10,18,173
classic_bike,member,Wednesday,January,10 to 30,14,171
electric_bike,member,Tuesday,January,Under 10,17,694
classic_bike,member,Sunday,January,Under 10,2,15
electric_bike,member,Saturday,January,Under 10,14,228
electric_bike,member,Monday,January,10 to 30,14,118
classic_bike,member,Friday,January,10 to 30,12,93
electric_bike,member,Saturday,January,Under 10,23,56
classic_bike,member,Sunday,January,10 to 30,12,109
classic_bike,casual,Friday,January,Under 10,9,26
electric_bike,member,Tuesday,January,10 to 30,17,323
electric_bike,casual,Sunday,January,Under 10,8,28
classic_bike,casual,Wednesday,January,Under 10,14,54
classic_bike,member,Monday,January,10 to 30,19,150
classic_bike,member,Thursday,January,10 to 30,9,189
electric_bike,member,Saturday,January,10 to 30,11,89
classic_bike,member,Sunday,January,10 to 30,13,136
classic_bike,member,Monday,January,30 to 60,17,54
classic_bike,member,Monday,January,30 to 60,7,33
classic_bike,member,Friday,January,30 to 60,8,19
